item_id,item_nome,item_tipo,item_descricao,do_que_se_trata,imagem_atual,arquivo_png_existe,arquivo_webp_existe,pode_melhorar,motivo_melhoria
devils_coin,Moeda do Diabo,relic,Moeda amaldiçoada marcada com sigilos profanos.,Relíquia temática (devils coin),/images/items/devils_coin_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelist_gloves,Luvas do Duelista,gloves,Feitas para tiro rápido.,Luvas de combate/manuseio (duelist gloves),/images/items/duelist_gloves_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelista_carmesim_epic_boots,duelista carmesim epic boots,boots,Item de conjunto (epic),Botas (duelista carmesim epic boots),/images/items/duelista_carmesim_epic_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelista_carmesim_epic_chest,duelista carmesim epic chest,chest,Item de conjunto (epic),Casaco/peitoral de vestimenta (duelista carmesim epic chest),/images/items/duelista_carmesim_epic_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelista_carmesim_epic_gloves,duelista carmesim epic gloves,gloves,Item de conjunto (epic),Luvas de combate/manuseio (duelista carmesim epic gloves),/images/items/duelista_carmesim_epic_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelista_carmesim_epic_helmet,duelista carmesim epic helmet,helmet,Item de conjunto (epic),Chapéu/cobertura de cabeça (duelista carmesim epic helmet),/images/items/duelista_carmesim_epic_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelista_carmesim_epic_legs,duelista carmesim epic legs,legs,Item de conjunto (epic),Calças/perneiras (duelista carmesim epic legs),/images/items/duelista_carmesim_epic_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelista_carmesim_epic_shield,duelista carmesim epic shield,shield,Item de conjunto (epic),Braçadeira/defesa de antebraço (duelista carmesim epic shield),/images/items/duelista_carmesim_epic_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
duelista_carmesim_epic_weapon,duelista carmesim epic weapon,weapon,Item de conjunto (epic),Arma de fogo/combate do Velho Oeste (duelista carmesim epic weapon),/images/items/duelista_carmesim_epic_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
forasteiro_po_common_boots,forasteiro po common boots,boots,Item de conjunto (common),Botas (forasteiro po common boots),/images/items/forasteiro_po_common_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
forasteiro_po_common_chest,forasteiro po common chest,chest,Item de conjunto (common),Casaco/peitoral de vestimenta (forasteiro po common chest),/images/items/forasteiro_po_common_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
forasteiro_po_common_gloves,forasteiro po common gloves,gloves,Item de conjunto (common),Luvas de combate/manuseio (forasteiro po common gloves),/images/items/forasteiro_po_common_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
forasteiro_po_common_helmet,forasteiro po common helmet,helmet,Item de conjunto (common),Chapéu/cobertura de cabeça (forasteiro po common helmet),/images/items/forasteiro_po_common_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
forasteiro_po_common_legs,forasteiro po common legs,legs,Item de conjunto (common),Calças/perneiras (forasteiro po common legs),/images/items/forasteiro_po_common_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
forasteiro_po_common_shield,forasteiro po common shield,shield,Item de conjunto (common),Braçadeira/defesa de antebraço (forasteiro po common shield),/images/items/forasteiro_po_common_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
forasteiro_po_common_weapon,forasteiro po common weapon,weapon,Item de conjunto (common),Arma de fogo/combate do Velho Oeste (forasteiro po common weapon),/images/items/forasteiro_po_common_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
garimpeiro_cobre_common_boots,garimpeiro cobre common boots,boots,Item de conjunto (common),Botas (garimpeiro cobre common boots),/images/items/garimpeiro_cobre_common_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
garimpeiro_cobre_common_chest,garimpeiro cobre common chest,chest,Item de conjunto (common),Casaco/peitoral de vestimenta (garimpeiro cobre common chest),/images/items/garimpeiro_cobre_common_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
garimpeiro_cobre_common_gloves,garimpeiro cobre common gloves,gloves,Item de conjunto (common),Luvas de combate/manuseio (garimpeiro cobre common gloves),/images/items/garimpeiro_cobre_common_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
garimpeiro_cobre_common_helmet,garimpeiro cobre common helmet,helmet,Item de conjunto (common),Chapéu/cobertura de cabeça (garimpeiro cobre common helmet),/images/items/garimpeiro_cobre_common_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
garimpeiro_cobre_common_legs,garimpeiro cobre common legs,legs,Item de conjunto (common),Calças/perneiras (garimpeiro cobre common legs),/images/items/garimpeiro_cobre_common_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
garimpeiro_cobre_common_shield,garimpeiro cobre common shield,shield,Item de conjunto (common),Braçadeira/defesa de antebraço (garimpeiro cobre common shield),/images/items/garimpeiro_cobre_common_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
garimpeiro_cobre_common_weapon,garimpeiro cobre common weapon,weapon,Item de conjunto (common),Arma de fogo/combate do Velho Oeste (garimpeiro cobre common weapon),/images/items/garimpeiro_cobre_common_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
ghost_step_pants,Calça Passo Fantasma,legs,Feita para aproximação silenciosa.,Calças/perneiras (ghost step pants),/images/items/ghost_step_pants_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guarda_velha_rare_boots,guarda velha rare boots,boots,Item de conjunto (rare),Botas (guarda velha rare boots),/images/items/guarda_velha_rare_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guarda_velha_rare_chest,guarda velha rare chest,chest,Item de conjunto (rare),Casaco/peitoral de vestimenta (guarda velha rare chest),/images/items/guarda_velha_rare_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guarda_velha_rare_gloves,guarda velha rare gloves,gloves,Item de conjunto (rare),Luvas de combate/manuseio (guarda velha rare gloves),/images/items/guarda_velha_rare_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guarda_velha_rare_helmet,guarda velha rare helmet,helmet,Item de conjunto (rare),Chapéu/cobertura de cabeça (guarda velha rare helmet),/images/items/guarda_velha_rare_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guarda_velha_rare_legs,guarda velha rare legs,legs,Item de conjunto (rare),Calças/perneiras (guarda velha rare legs),/images/items/guarda_velha_rare_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guarda_velha_rare_shield,guarda velha rare shield,shield,Item de conjunto (rare),Braçadeira/defesa de antebraço (guarda velha rare shield),/images/items/guarda_velha_rare_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guarda_velha_rare_weapon,guarda velha rare weapon,weapon,Item de conjunto (rare),Arma de fogo/combate do Velho Oeste (guarda velha rare weapon),/images/items/guarda_velha_rare_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guardiao_aco_epic_boots,guardiao aco epic boots,boots,Item de conjunto (epic),Botas (guardiao aco epic boots),/images/items/guardiao_aco_epic_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guardiao_aco_epic_chest,guardiao aco epic chest,chest,Item de conjunto (epic),Casaco/peitoral de vestimenta (guardiao aco epic chest),/images/items/guardiao_aco_epic_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guardiao_aco_epic_gloves,guardiao aco epic gloves,gloves,Item de conjunto (epic),Luvas de combate/manuseio (guardiao aco epic gloves),/images/items/guardiao_aco_epic_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guardiao_aco_epic_helmet,guardiao aco epic helmet,helmet,Item de conjunto (epic),Chapéu/cobertura de cabeça (guardiao aco epic helmet),/images/items/guardiao_aco_epic_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guardiao_aco_epic_legs,guardiao aco epic legs,legs,Item de conjunto (epic),Calças/perneiras (guardiao aco epic legs),/images/items/guardiao_aco_epic_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guardiao_aco_epic_shield,guardiao aco epic shield,shield,Item de conjunto (epic),Braçadeira/defesa de antebraço (guardiao aco epic shield),/images/items/guardiao_aco_epic_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
guardiao_aco_epic_weapon,guardiao aco epic weapon,weapon,Item de conjunto (epic),Arma de fogo/combate do Velho Oeste (guardiao aco epic weapon),/images/items/guardiao_aco_epic_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
hangman_noose,Corda do Carrasco,relic,Fragmento de corda antiga usada em enforcamentos na fronteira.,Relíquia temática (hangman noose),/images/items/hangman_noose_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
iron_boots,Botas Ferradas,boots,"Passada pesada, difícil derrubar.",Botas (iron boots),/images/items/iron_boots_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
leather_chaps,Perneira de Couro,legs,Proteção básica contra estilhaços.,Calças/perneiras (leather chaps),/images/items/leather_chaps_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
leather_gloves,Luvas de Couro,gloves,Aderência e controle no saque.,Luvas de combate/manuseio (leather gloves),/images/items/leather_gloves_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
lined_pants,Calça Forrada,legs,Boa defesa sem travar o movimento.,Calças/perneiras (lined pants),/images/items/lined_pants_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
marshal_gloves,Luvas do Marechal,gloves,Aguentam briga longa sem tremer.,Luvas de combate/manuseio (marshal gloves),/images/items/marshal_gloves_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
medical_kit,Kit Médico,consumable,Ataduras e remédios.,Consumível (medical kit),/images/medical_kit.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenario_fronteira_uncommon_boots,mercenario fronteira uncommon boots,boots,Item de conjunto (uncommon),Botas (mercenario fronteira uncommon boots),/images/items/mercenario_fronteira_uncommon_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenario_fronteira_uncommon_chest,mercenario fronteira uncommon chest,chest,Item de conjunto (uncommon),Casaco/peitoral de vestimenta (mercenario fronteira uncommon chest),/images/items/mercenario_fronteira_uncommon_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenario_fronteira_uncommon_gloves,mercenario fronteira uncommon gloves,gloves,Item de conjunto (uncommon),Luvas de combate/manuseio (mercenario fronteira uncommon gloves),/images/items/mercenario_fronteira_uncommon_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenario_fronteira_uncommon_helmet,mercenario fronteira uncommon helmet,helmet,Item de conjunto (uncommon),Chapéu/cobertura de cabeça (mercenario fronteira uncommon helmet),/images/items/mercenario_fronteira_uncommon_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenario_fronteira_uncommon_legs,mercenario fronteira uncommon legs,legs,Item de conjunto (uncommon),Calças/perneiras (mercenario fronteira uncommon legs),/images/items/mercenario_fronteira_uncommon_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenario_fronteira_uncommon_shield,mercenario fronteira uncommon shield,shield,Item de conjunto (uncommon),Braçadeira/defesa de antebraço (mercenario fronteira uncommon shield),/images/items/mercenario_fronteira_uncommon_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenario_fronteira_uncommon_weapon,mercenario fronteira uncommon weapon,weapon,Item de conjunto (uncommon),Arma de fogo/combate do Velho Oeste (mercenario fronteira uncommon weapon),/images/items/mercenario_fronteira_uncommon_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
mercenary_boots,Botas de Mercenário,boots,Firmes para duelo em rua de terra.,Botas (mercenary boots),/images/items/mercenary_boots_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
nightfang_grips,Empunhadura Noturna,gloves,Controle fino para tiros letais.,Luvas de combate/manuseio (nightfang grips),/images/items/nightfang_grips_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
phantom_horseshoe,Ferradura Fantasma,relic,Ferradura espectral envolta em poeira e energia etérea.,Relíquia temática (phantom horseshoe),/images/items/phantom_horseshoe_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pistoleiro_estrada_common_boots,pistoleiro estrada common boots,boots,Item de conjunto (common),Botas (pistoleiro estrada common boots),/images/items/pistoleiro_estrada_common_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pistoleiro_estrada_common_chest,pistoleiro estrada common chest,chest,Item de conjunto (common),Casaco/peitoral de vestimenta (pistoleiro estrada common chest),/images/items/pistoleiro_estrada_common_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pistoleiro_estrada_common_gloves,pistoleiro estrada common gloves,gloves,Item de conjunto (common),Luvas de combate/manuseio (pistoleiro estrada common gloves),/images/items/pistoleiro_estrada_common_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pistoleiro_estrada_common_helmet,pistoleiro estrada common helmet,helmet,Item de conjunto (common),Chapéu/cobertura de cabeça (pistoleiro estrada common helmet),/images/items/pistoleiro_estrada_common_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pistoleiro_estrada_common_legs,pistoleiro estrada common legs,legs,Item de conjunto (common),Calças/perneiras (pistoleiro estrada common legs),/images/items/pistoleiro_estrada_common_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pistoleiro_estrada_common_shield,pistoleiro estrada common shield,shield,Item de conjunto (common),Braçadeira/defesa de antebraço (pistoleiro estrada common shield),/images/items/pistoleiro_estrada_common_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pistoleiro_estrada_common_weapon,pistoleiro estrada common weapon,weapon,Item de conjunto (common),Arma de fogo/combate do Velho Oeste (pistoleiro estrada common weapon),/images/items/pistoleiro_estrada_common_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pregador_cinzento_uncommon_boots,pregador cinzento uncommon boots,boots,Item de conjunto (uncommon),Botas (pregador cinzento uncommon boots),/images/items/pregador_cinzento_uncommon_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pregador_cinzento_uncommon_chest,pregador cinzento uncommon chest,chest,Item de conjunto (uncommon),Casaco/peitoral de vestimenta (pregador cinzento uncommon chest),/images/items/pregador_cinzento_uncommon_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pregador_cinzento_uncommon_gloves,pregador cinzento uncommon gloves,gloves,Item de conjunto (uncommon),Luvas de combate/manuseio (pregador cinzento uncommon gloves),/images/items/pregador_cinzento_uncommon_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pregador_cinzento_uncommon_helmet,pregador cinzento uncommon helmet,helmet,Item de conjunto (uncommon),Chapéu/cobertura de cabeça (pregador cinzento uncommon helmet),/images/items/pregador_cinzento_uncommon_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pregador_cinzento_uncommon_legs,pregador cinzento uncommon legs,legs,Item de conjunto (uncommon),Calças/perneiras (pregador cinzento uncommon legs),/images/items/pregador_cinzento_uncommon_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pregador_cinzento_uncommon_shield,pregador cinzento uncommon shield,shield,Item de conjunto (uncommon),Braçadeira/defesa de antebraço (pregador cinzento uncommon shield),/images/items/pregador_cinzento_uncommon_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
pregador_cinzento_uncommon_weapon,pregador cinzento uncommon weapon,weapon,Item de conjunto (uncommon),Arma de fogo/combate do Velho Oeste (pregador cinzento uncommon weapon),/images/items/pregador_cinzento_uncommon_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
ranger_boots,Botas do Ranger,boots,Resistentes para vigia da fronteira.,Botas (ranger boots),/images/items/ranger_boots_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rastreador_canyon_uncommon_boots,rastreador canyon uncommon boots,boots,Item de conjunto (uncommon),Botas (rastreador canyon uncommon boots),/images/items/rastreador_canyon_uncommon_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rastreador_canyon_uncommon_chest,rastreador canyon uncommon chest,chest,Item de conjunto (uncommon),Casaco/peitoral de vestimenta (rastreador canyon uncommon chest),/images/items/rastreador_canyon_uncommon_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rastreador_canyon_uncommon_gloves,rastreador canyon uncommon gloves,gloves,Item de conjunto (uncommon),Luvas de combate/manuseio (rastreador canyon uncommon gloves),/images/items/rastreador_canyon_uncommon_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rastreador_canyon_uncommon_helmet,rastreador canyon uncommon helmet,helmet,Item de conjunto (uncommon),Chapéu/cobertura de cabeça (rastreador canyon uncommon helmet),/images/items/rastreador_canyon_uncommon_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rastreador_canyon_uncommon_legs,rastreador canyon uncommon legs,legs,Item de conjunto (uncommon),Calças/perneiras (rastreador canyon uncommon legs),/images/items/rastreador_canyon_uncommon_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rastreador_canyon_uncommon_shield,rastreador canyon uncommon shield,shield,Item de conjunto (uncommon),Braçadeira/defesa de antebraço (rastreador canyon uncommon shield),/images/items/rastreador_canyon_uncommon_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rastreador_canyon_uncommon_weapon,rastreador canyon uncommon weapon,weapon,Item de conjunto (uncommon),Arma de fogo/combate do Velho Oeste (rastreador canyon uncommon weapon),/images/items/rastreador_canyon_uncommon_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
raven_boots,Botas do Corvo,boots,Mobilidade extrema para emboscadas.,Botas (raven boots),/images/items/raven_boots_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
reinforced_gloves,Luvas Reforçadas,gloves,Boas para pancada e recoil pesado.,Luvas de combate/manuseio (reinforced gloves),/images/items/reinforced_gloves_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
rusty_dagger,Faca de Saloon,weapon,Lâmina gasta para briga de bar.,Arma de fogo/combate do Velho Oeste (rusty dagger),/images/rusty_dagger.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
saint_medallion,Medalhão do Peregrino,relic,Relíquia sagrada de metal envelhecido com símbolos de proteção.,Relíquia temática (saint medallion),/images/items/saint_medallion_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
sheriff_greaves,Perneira do Xerife,legs,Equipamento de alto nível da lei.,Calças/perneiras (sheriff greaves),/images/items/sheriff_greaves_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
traveler_pants,Calça de Viajante,legs,Confortável para longas cavalgadas.,Calças/perneiras (traveler pants),/images/items/traveler_pants_realistic.jpg,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
xama_tormenta_epic_boots,xama tormenta epic boots,boots,Item de conjunto (epic),Botas (xama tormenta epic boots),/images/items/xama_tormenta_epic_boots_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
xama_tormenta_epic_chest,xama tormenta epic chest,chest,Item de conjunto (epic),Casaco/peitoral de vestimenta (xama tormenta epic chest),/images/items/xama_tormenta_epic_chest_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
xama_tormenta_epic_gloves,xama tormenta epic gloves,gloves,Item de conjunto (epic),Luvas de combate/manuseio (xama tormenta epic gloves),/images/items/xama_tormenta_epic_gloves_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
xama_tormenta_epic_helmet,xama tormenta epic helmet,helmet,Item de conjunto (epic),Chapéu/cobertura de cabeça (xama tormenta epic helmet),/images/items/xama_tormenta_epic_helmet_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
xama_tormenta_epic_legs,xama tormenta epic legs,legs,Item de conjunto (epic),Calças/perneiras (xama tormenta epic legs),/images/items/xama_tormenta_epic_legs_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
xama_tormenta_epic_shield,xama tormenta epic shield,shield,Item de conjunto (epic),Braçadeira/defesa de antebraço (xama tormenta epic shield),/images/items/xama_tormenta_epic_shield_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
xama_tormenta_epic_weapon,xama tormenta epic weapon,weapon,Item de conjunto (epic),Arma de fogo/combate do Velho Oeste (xama tormenta epic weapon),/images/items/xama_tormenta_epic_weapon_realistic.png,sim,sim,nao,Imagem alinhada ao item (conjunto/tipo consistente).
